mtry,min_n,.metric,.estimator,mean,n,std_err,.config
8,9,mae,standard,7.62630161826953,25,0.2637877563205163,Preprocessor1_Model01
8,9,rmse,standard,9.062157935785208,25,0.26113007139247457,Preprocessor1_Model01
8,9,rsq,standard,0.41956182578921175,25,0.02806331736728117,Preprocessor1_Model01
10,7,mae,standard,7.428037779645191,25,0.25424866007712227,Preprocessor1_Model02
10,7,rmse,standard,8.876747371220969,25,0.2601640041710005,Preprocessor1_Model02
10,7,rsq,standard,0.43280115309538875,25,0.02733171855690015,Preprocessor1_Model02
11,7,mae,standard,7.39119149579832,25,0.24470440053305448,Preprocessor1_Model03
11,7,rmse,standard,8.837836093609653,25,0.2536541370278008,Preprocessor1_Model03
11,7,rsq,standard,0.4334418995528285,25,0.028085210495489694,Preprocessor1_Model03
6,6,mae,standard,7.8382240588235295,25,0.274557685168134,Preprocessor1_Model04
6,6,rmse,standard,9.260094849212951,25,0.2689511909341367,Preprocessor1_Model04
6,6,rsq,standard,0.4033620311693264,25,0.02818427645007952,Preprocessor1_Model04
14,8,mae,standard,7.24512613818861,25,0.2331384867810117,Preprocessor1_Model05
14,8,rmse,standard,8.687086686697766,25,0.2489159367888616,Preprocessor1_Model05
14,8,rsq,standard,0.44427304899802983,25,0.027984651754088586,Preprocessor1_Model05
6,8,mae,standard,7.85632146389667,25,0.2761720694296604,Preprocessor1_Model06
6,8,rmse,standard,9.274297848722135,25,0.26944272236372957,Preprocessor1_Model06
6,8,rsq,standard,0.4019748233736318,25,0.02793251138624043,Preprocessor1_Model06
17,2,mae,standard,7.13037431372549,25,0.22325527616466706,Preprocessor1_Model07
17,2,rmse,standard,8.572089944451632,25,0.24972550512886582,Preprocessor1_Model07
17,2,rsq,standard,0.45228429554034766,25,0.029010086311061577,Preprocessor1_Model07
9,2,mae,standard,7.509651176470588,25,0.2567537197639711,Preprocessor1_Model08
9,2,rmse,standard,8.942719739182214,25,0.25868786286758816,Preprocessor1_Model08
9,2,rsq,standard,0.4245876322309276,25,0.02830014557751385,Preprocessor1_Model08
11,3,mae,standard,7.325473616557734,25,0.2455464709737789,Preprocessor1_Model09
11,3,rmse,standard,8.770259441736476,25,0.25512411719296796,Preprocessor1_Model09
11,3,rsq,standard,0.4412781492311202,25,0.02741569007129885,Preprocessor1_Model09
10,5,mae,standard,7.433308409586057,25,0.24888726931718871,Preprocessor1_Model10
10,5,rmse,standard,8.880899686024406,25,0.2548535593189193,Preprocessor1_Model10
10,5,rsq,standard,0.4313271515794487,25,0.02830818472991639,Preprocessor1_Model10
7,2,mae,standard,7.6966833986928105,25,0.2660048889791601,Preprocessor1_Model11
7,2,rmse,standard,9.092348876249051,25,0.26725481237864507,Preprocessor1_Model11
7,2,rsq,standard,0.41883270889159807,25,0.026734047275206833,Preprocessor1_Model11
17,10,mae,standard,7.110887398070339,25,0.2227910171760727,Preprocessor1_Model12
17,10,rmse,standard,8.563038273961386,25,0.24068890053499614,Preprocessor1_Model12
17,10,rsq,standard,0.45432901703688033,25,0.026951445709453542,Preprocessor1_Model12
17,7,mae,standard,7.1331663243075,25,0.2220345726315946,Preprocessor1_Model13
17,7,rmse,standard,8.579913091443004,25,0.2477979158848803,Preprocessor1_Model13
17,7,rsq,standard,0.4517927705264476,25,0.02877075324702496,Preprocessor1_Model13
14,6,mae,standard,7.222021041394336,25,0.23009382091732059,Preprocessor1_Model14
14,6,rmse,standard,8.67181236624675,25,0.24519578078281207,Preprocessor1_Model14
14,6,rsq,standard,0.4460129707056886,25,0.02788018939827075,Preprocessor1_Model14
16,4,mae,standard,7.1750896405228755,25,0.22598415959402804,Preprocessor1_Model15
16,4,rmse,standard,8.617641317864164,25,0.2455519869232789,Preprocessor1_Model15
16,4,rsq,standard,0.44755414378286495,25,0.028367192669886594,Preprocessor1_Model15
5,6,mae,standard,7.970445089157031,25,0.27744268158240554,Preprocessor1_Model16
5,6,rmse,standard,9.373193775762033,25,0.2698141619455626,Preprocessor1_Model16
5,6,rsq,standard,0.3982200980041379,25,0.02843495318004053,Preprocessor1_Model16
5,9,mae,standard,7.998497702043781,25,0.2778131232833399,Preprocessor1_Model17
5,9,rmse,standard,9.419799636796398,25,0.27145082314994595,Preprocessor1_Model17
5,9,rsq,standard,0.39314190840012686,25,0.027271829501153127,Preprocessor1_Model17
16,5,mae,standard,7.146579477124183,25,0.22830244028505292,Preprocessor1_Model18
16,5,rmse,standard,8.610440155893663,25,0.2461584699291079,Preprocessor1_Model18
16,5,rsq,standard,0.4502420594671181,25,0.027917385525544174,Preprocessor1_Model18
9,10,mae,standard,7.518865528841165,25,0.2545382313319571,Preprocessor1_Model19
9,10,rmse,standard,8.937555416823283,25,0.2583065727831918,Preprocessor1_Model19
9,10,rsq,standard,0.43245492274895314,25,0.027387892542987468,Preprocessor1_Model19
11,8,mae,standard,7.362605397759102,25,0.2469765449433472,Preprocessor1_Model20
11,8,rmse,standard,8.81013235924579,25,0.2563465280815666,Preprocessor1_Model20
11,8,rsq,standard,0.43763234821307717,25,0.027162319233159087,Preprocessor1_Model20
