Feature,Gain,Cover,Frequency
mom_mean_pre,0.5513810992477404,0.05240726124704025,0.047058823529411764
bdi_pre,0.10271251531946428,0.05224940805051302,0.043137254901960784
slope_mean_pre,0.05266039626748416,0.06464088397790055,0.058823529411764705
bmmr_tot_pre,0.04434461116708515,0.05011838989739542,0.050980392156862744
ctq,0.03444021454914315,0.05982636148382005,0.06666666666666667
bmmr_entr_pre,0.033510373684658284,0.050986582478295184,0.043137254901960784
hferst_rum_pre,0.022376704696226678,0.03425414364640884,0.03529411764705882
bmmr_div_pre,0.020767734326985948,0.021625887924230466,0.023529411764705882
bmi,0.020684193600893942,0.08326756116811365,0.09019607843137255
hferst_prob_pre,0.018357366680934767,0.02904498816101026,0.043137254901960784
hferst_avoid_pre,0.018337746761276117,0.05122336227308603,0.043137254901960784
age,0.01812038767244087,0.039226519337016576,0.050980392156862744
mom_sd_pre,0.015517480454427825,0.0696921862667719,0.06274509803921569
hferst_reapp_pre,0.012151069318234016,0.023914759273875295,0.0196078431372549
bmmr_sol_pre,0.009318441028727423,0.02920284135753749,0.027450980392156862
hdrs_pre,0.0084304820041048,0.03212312549329124,0.03529411764705882
hferst_expr_pre,0.005682774762554183,0.016732438831886347,0.01568627450980392
hferst_accept_pre,0.005326347151062167,0.022257300710339385,0.027450980392156862
bmmr_dis_pre,0.0014127412132598583,0.03930544593528019,0.0392156862745098
icd_f34_1,0.0011015702031760795,0.010734017363851617,0.01568627450980392
hferst_expe_pre,0.0011003850652734032,0.045303867403314914,0.03529411764705882
bmmr_rev_pre,0.0010178416585552815,0.018310970797158644,0.01568627450980392
hferst_soc_pre,5.072300643870081e-4,0.02967640094711918,0.0392156862745098
bmmr_stro_pre,4.4310640996124217e-4,0.008997632202052092,0.01568627450980392
icd_f33_1,1.337261330960545e-4,0.010734017363851617,0.00784313725490196
study_cohort,1.0733990661493614e-4,0.01941594317284925,0.0196078431372549
icd_f33_0,4.156943417177108e-5,0.0037884767166535124,0.00392156862745098
bmmr_mw_pre,1.4188575704304846e-5,0.017679558011049725,0.01568627450980392
group_f_MusicTherapy,3.6264235593426304e-7,0.013259668508287293,0.00784313725490196
